player_id,first_name,last_name,position
5756,Garrett,Dickerson,TE
923,Chris,Conte,FS
945,Kevin,Cone,WR
830,AJ,Green,WR
6581,Derick,Roberson,OLB
5384,Jonah,Trinnaman,WR
1015,Jed,Collins,FB
2075,Dustin,Vaughan,QB
1985,Marcel,Jensen,TE
4375,Johnathan,Calvin,DT
769,Jordan,Norwood,WR
1385,Troy,Stoudermire,CB
1440,Bjoern,Werner,OLB
1155,Jonte,Green,CB
1791,Karim,Barton,G
5478,Andrew,Motuapuaka,ILB
1754,Tim,Lelito,G
2567,Bryan,Bennett,QB
936,Matt,Asiata,RB
2806,Cameron,Lynch,OLB
2982,Quinton,Spain,G
6089,Daniel,Helm,TE
4599,Michael,Rector,WR
4009,Mark,Dominik,NA
6188,Sutton,Smith,OLB
5644,Bryon,Fields,DB
1406,Reggie,Dunn,WR
5081,Genard,Avery,OLB
562,JD,Walton,C
5674,Andre,Chachere,CB
3708,Kyle,Kragen,OLB
3116,Vance,Joseph,NA
6098,Ben,Burr-Kirven,OLB
3852,Jaydon,Mickens,WR
5684,Jojo,Wicker,DE
5725,Tobenna,Okeke,OLB
986,Aldon,Smith,OLB
5960,T.J.,Edwards,ILB
2686,Khari,Lee,TE
1339,Zach,Ertz,TE
1993,Tyler,Shatley,C
3875,Nila,Kasitati,G
2405,Angelo,Blackson,DE
954,Cam,Newton,QB
1020,Terrelle,Pryor,WR
3268,Eric,Murray,FS
2601,Andre,Davis,WR
5638,Shaq,Roland,WR
4523,Lucas,Crowley,C
145,Rashard,Mendenhall,RB
4216,Desmond,King,CB
3315,KJ,Dillon,FS
1094,Mike,Martin,DT
6602,Braxton,Hoyett,NT
940,Andre,Holmes,WR
1634,Jason,Weaver,OT
1813,Randell,Johnson,ILB
5687,Anthony,Sherrils,DB
4126,Fabian,Moreau,CB
472,Darius,Butler,FS
3076,Mike,Pettine,NA
2872,Quayshawne,Buckley,DT
1848,James,White,RB
4012,John,Morton,NA
1109,Chandler,Harnish,QB
5663,Shane,Wimann,RB
6338,Ira,Lewis,DT
5295,De'Mornay,Pierson-El,WR
5536,Dontrell,Hilliard,RB
6269,Kyle,Shurmur,QB
4362,Cethan,Carter,TE
1654,Zach,Sudfeld,TE
5655,Ryan,Neal,SS
6703,Andrew,Wellock,K
3060,Kevin,Coyle,NA
5643,Austin,Fleer,OT
6091,Jovon,Durante,WR
3041,Ross,Travis,TE
5649,Jeremy,Reaves,SS
5444,William,Ossai,LB
118,Sebastian,Janikowski,K
3234,Carl,Nassib,OLB
2777,Tavarus,Dantzler,OLB
1092,Sean,Spence,ILB
2585,Thomas,Rawls,RB
4846,Taybor,Pepper,LS
1690,Ka'Lial,Glaud,OLB
4666,Younghoe,Koo,K
5626,Olubunmi,Rotimi,DE
5901,Tytus,Howard,OT
1900,Joel,Bitonio,G
3602,Daniel,Dillon,LS
362,David,Johnson,RB
1352,Robert,Woods,WR
5909,Hamp,Cheevers,CB
4077,Jamal,Adams,SS
2080,Jay,Bromley,DT
1254,Josh,Robinson,CB
3795,Blake,Muir,G
5982,Marquise,Blair,FS
1554,Rufus,Johnson,DE
2029,Travis,Carrie,CB
5533,Trenton,Thompson,DT
5532,Daniel,Ekuale,DT
1550,Ryan,Griffin,QB
5967,Tony,Pollard,RB
4867,Rick,Smith,NA
49,Robbie,Gould,K
4308,Deron,Washington,FS
4458,Zach,Franklin,CB
6547,Isaiah,Wharton,SS
3563,Steve,Longa,OLB
5587,Chris,Warren III,RB
4704,Tyler,Ferguson,QB
2522,Deon,Simon,DE
5507,Secdrick,Cooper,S
4685,Roubbens,Joseph,OT
3335,Drew,Kaser,P
6717,Ka'john,Armstrong,OT
5308,John,Franklin,DE
217,Donte,Whitner,SS
1804,Carey,Spear,K
5037,Breeland,Speaks,DE
10,Stephen,Tulloch,ILB
2797,Shawn,Lemon,OLB
2303,Josh,Harris,RB
6637,Nico,Evans,RB
3673,Nick,Rose,K
4457,JP,Flynn,G
4455,Matt,Breida,RB
5376,Jack,Cichy,ILB
6111,Jake,Browning,QB
2655,Nick,Dzubnar,OLB
6510,Jalen,Dalton,DE
6197,Durval Queiroz,Neto,DT
6289,Duke,Shelley,CB
3286,Demarcus,Robinson,WR
2537,Mario,Alford,WR
1016,Brian,DeLaPuente,C
6328,Kyron,Brown,CB
5808,Connor,Jessop,QB
386,Brandon,Lloyd,WR
4918,Brock,Miller,P
6546,Kenny,Bigelow,DT
4330,Jojo,Natson,WR
659,Cedric,Peerman,RB
2207,Ronald,Powell,OLB
4204,Blair,Brown,OLB
5042,Deadrin,Senat,DT
6034,Donnie,Lewis Jr.,CB
5065,Brandon,Parker,OT
2299,Kevin,Fogg,CB
1844,Tyler,Ott,LS
3365,Jimmy,Landes,LS
137,Curtis,Lofton,ILB
1498,David,Amerson,CB
4425,Jason,King,G
6152,Khari,Willis,SS
3836,James,Cowser,OLB
3804,Darrin,Peterson,WR
5158,Dennis,Gardeck,ILB
3350,Cory,James,OLB
4262,Derrick,Jones,CB
6113,Garrett,Brumfield,G
1350,Jonathan,Meeks,SS
6654,Jojo,Tillery,FS
3946,Jake,Ceresna,DE
5425,John,Diarse,WR
2142,Rajion,Neal,RB
5785,James,Butler,RB
1615,Colin,Kelly,OT
6584,Deyon,Sizer,DE
2792,Tim,Scott,FS
3653,Brandon,Williams,TE
3055,Robert,Myers,G
2339,Donovan,Smith,OT
3173,Roger,Goodell,NA
3102,BJ,Lowery,CB
3949,Alex,Ross,NA
5364,Joshua,Frazier,NT
3570,Brandon,Ross,RB
3740,Tre,Jones,CB
4890,Ben,Turk,P
784,Marcus,Sherels,CB
6657,Freedom,Akinmoladun,DE
196,Leodis,McKelvin,CB
5183,Olasunkanmi,Adeniyi,OLB
4764,Marty,Hurney,NA
92,Andre,Johnson,WR
3787,Lars,Koht,DE
1200,Austin,Davis,QB
3461,Russell,Hansbrough,RB
5800,Justin,Stockton,RB
1597,Ty,Powell,OLB
2178,Dezmen,Southward,FS
1967,Seth,Lobato,QB
143,John,Carlson,TE
5596,Malik,Reaves,CB
6203,Valentine,Holmes,RB
4371,Josh,Tupou,NT
2498,Derron,Smith,SS
4659,Nelson,Adams,DE
2011,Juwan,Thompson,RB
2084,Devon,Kennard,OLB
4502,Cameron,Lee,G
4665,Eli,Jenkins,QB
4504,John,Robinson-Woodgett,RB
380,Rashad,Jennings,RB
1166,Kirk,Cousins,QB
6651,Anthony,Pittman,ILB
3475,Keyarris,Garrett,WR
1792,Kadron,Boone,WR
1095,Coty,Sensabaugh,CB
4439,Breon,Borders,CB
2294,Horace,Miller,ILB
2088,Andre,Williams,RB
1181,Luke,Kuechly,ILB
795,Marcell,Dareus,DT
5648,Tyler,Howell,OT
37,Charles,Johnson,DE
2691,Chuka,Ndulue,DT
4343,Kenny,Allen,P
6153,Dexter,Williams,RB
1121,Omar,Bolden,S
1218,Jamell,Fleming,FS
1137,Juron,Criner,WR
5394,Terrell,Williams,FS
2762,Diaheem,Watkins,ILB
1578,Alex,Okafor,DE
3984,Taylor,Symmank,P
5251,Tyler,Davis,K
